Name,Code,Control code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number,Author
1,L_1,,,339464.832,5626340.002,0.000,,-101.27653334,50.76658771,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
2,L_1,,,339475.854,5626340.002,0.000,,-101.27637717,50.76659076,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
3,L_1,,,339475.866,5626343.645,0.000,,-101.27637858,50.76662350,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
4,L_1,,,339475.867,5626347.442,0.000,,-101.27638023,50.76665762,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
5,L_1,,,339475.855,5626351.240,0.000,,-101.27638206,50.76669174,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
6,L_1,,,339475.831,5626355.038,0.000,,-101.27638405,50.76672586,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
7,L_1,,,339475.795,5626358.835,0.000,,-101.27638622,50.76675997,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
8,L_1,,,339475.747,5626362.633,0.000,,-101.27638856,50.76679408,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
9,L_1,,,339475.686,5626366.430,0.000,,-101.27639108,50.76682819,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
10,L_1,,,339475.613,5626370.227,0.000,,-101.27639377,50.76686229,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
11,L_1,,,339475.528,5626374.024,0.000,,-101.27639663,50.76689638,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
12,L_1,,,339475.431,5626377.820,0.000,,-101.27639966,50.76693047,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
13,L_1,,,339475.322,5626381.616,0.000,,-101.27640286,50.76696455,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
14,L_1,,,339475.201,5626385.412,0.000,,-101.27640624,50.76699862,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
15,L_1,,,339475.067,5626389.208,0.000,,-101.27640979,50.76703269,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
16,L_1,,,339474.921,5626393.002,0.000,,-101.27641351,50.76706675,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
17,L_1,,,339474.763,5626396.797,0.000,,-101.27641741,50.76710080,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
18,L_1,,,339474.593,5626400.591,0.000,,-101.27642148,50.76713485,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
19,L_1,,,339474.410,5626404.384,0.000,,-101.27642572,50.76716888,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
20,L_1,,,339474.216,5626408.177,0.000,,-101.27643013,50.76720291,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
21,L_1,,,339474.009,5626411.969,0.000,,-101.27643471,50.76723693,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
22,L_1,,,339473.790,5626415.760,0.000,,-101.27643947,50.76727093,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
23,L_1,,,339473.559,5626419.551,0.000,,-101.27644440,50.76730493,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
24,L_1,,,339473.315,5626423.341,0.000,,-101.27644950,50.76733892,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
25,L_1,,,339473.060,5626427.130,0.000,,-101.27645477,50.76737290,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
26,L_1,,,339472.792,5626430.918,0.000,,-101.27646022,50.76740686,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
27,L_1,,,339472.512,5626434.706,0.000,,-101.27646583,50.76744082,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
